DATE, EX_NUM, m, n, t, t_computed, ERROR_UX, ERROR_VX, ERROR_DX, MEAN_METHOD, BOOL_ALPHA_THETA, EMIN, EMAX, LOW_RANK_APPROX_METHOD,LOW_RANK_ITE, APF_METHOD, APF_ITE,BOOL_LOG,SYLVESTER_MATRIX_VARIANT,GCD_METHOD, RANK_REVEALING_METRIC
19-Jan-2018 15:15:19,1,4,4,3,3,0.0016448,0.0034252,0.0064273,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-01,None,0,None,0,0,T,ux and vx,Minimum Singular Values 
19-Jan-2018 15:15:20,1,4,4,3,3,0.00075094,0.00033449,0.0067465,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-01,None,0,None,0,0,DT,ux and vx,Minimum Singular Values 
19-Jan-2018 15:15:21,1,4,4,3,3,0.0016448,0.0034252,0.0064273,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-01,None,0,None,0,0,TQ,ux and vx,Minimum Singular Values 
19-Jan-2018 15:15:23,1,4,4,3,3,0.00075094,0.00033449,0.0067465,Geometric Mean Matlab Method,1,1.000000e-12,1.000000e-01,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:54:02,1,4,4,3,3,5.2719e-11,9.8388e-10,7.7431e-09,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:54:03,1,4,4,3,3,1.8045e-10,1.0645e-09,8.5192e-09,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard STLN,2,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:54:04,1,4,4,3,3,3.251e-09,1.7643e-09,5.9066e-09,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard SNTLN,2,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:55:26,2,19,16,5,5,1.2324e-05,1.9487e-06,2.2328e-05,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:55:27,2,19,16,5,5,5.6668e-07,8.5663e-08,9.6021e-07,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard STLN,3,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:55:29,2,19,16,5,5,5.8251e-07,8.7658e-08,9.8631e-07,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard SNTLN,3,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:56:03,3,21,20,12,12,7.9193e-08,1.0909e-09,2.8472e-08,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:56:04,3,21,20,12,12,4.4724e-07,7.1947e-09,3.532e-08,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard STLN,2,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:56:06,3,21,20,12,12,2.7886e-06,3.2799e-07,6.514e-07,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard SNTLN,4,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:56:30,4,5,6,2,2,3.3721e-09,2.1792e-09,9.5448e-09,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:56:31,4,5,6,2,2,5.0633e-09,3.1816e-09,8.0447e-09,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard STLN,2,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:56:32,4,5,6,2,2,5.207e-09,2.0304e-09,7.3552e-09,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard SNTLN,2,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:56:48,5,9,9,6,6,2.8868e-08,1.3549e-08,6.082e-08,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:56:50,5,9,9,6,6,4.8051e-08,1.0406e-08,3.0653e-09,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard STLN,2,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:56:51,5,9,9,6,6,1.0692e-07,1.1748e-08,4.0487e-09,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard SNTLN,2,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:57:14,6,26,28,16,18,1000,1000,1000,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:57:15,6,26,28,16,18,1000,1000,1000,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard STLN,8,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:57:27,7,30,38,16,1,1000,1000,1000,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:57:29,7,30,38,16,1,1000,1000,1000,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard STLN,1,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:57:32,7,30,38,16,1,1000,1000,1000,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard SNTLN,1,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:59:07,8,25,24,16,16,8.5918e-08,3.271e-09,7.6818e-09,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:59:09,8,25,24,16,16,2.273e-06,1.49e-08,2.6713e-08,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard STLN,2,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:59:10,8,25,24,16,16,2.6777e-05,3.0764e-06,4.5334e-06,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard SNTLN,4,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:59:38,9,35,31,23,23,1.0917e-06,3.8125e-09,1.0782e-08,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 16:59:48,10,35,31,23,23,2.5496e-05,1.1001e-06,3.8791e-07,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 17:00:02,11,42,39,28,29,1000,1000,1000,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 17:00:17,12,10,8,5,5,1.7323e-06,7.4032e-07,6.5841e-07,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 17:00:19,12,10,8,5,5,2.5091e-06,9.8901e-07,8.9556e-07,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard STLN,3,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 17:00:20,12,10,8,5,5,7.1664e-07,2.6553e-07,2.4947e-07,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,Standard SNTLN,3,None,0,0,DTQ,ux and vx,Minimum Singular Values 
21-Jan-2018 17:00:48,1,4,4,3,3,5.2719e-11,9.8388e-10,7.7431e-09,Geometric Mean Matlab Method,1,1.000000e-08,1.000000e-07,None,0,None,0,0,DTQ,ux and vx,Minimum Singular Values 
