DATE, EX_NUM, BOOL_PREPROC, NOISE, method_name, error_norm 
24-Jun-2017 13:10:54,5,0,1e-10,Batch Constrained With STLN,7.1756e-11 
24-Jun-2017 13:10:55,4,0,1e-10,Separate,2.4285e-09 
24-Jun-2017 13:10:55,4,0,1e-10,Batch,2.4286e-09 
24-Jun-2017 13:10:55,4,0,1e-10,Batch With STLN,2.5125e-09 
24-Jun-2017 13:10:55,4,0,1e-10,Batch Constrained,1.1922e-09 
24-Jun-2017 13:10:55,4,0,1e-10,Batch Constrained With STLN,3.5539e-10 
24-Jun-2017 13:10:55,6,0,1e-10,Separate,2.7305e-10 
24-Jun-2017 13:10:55,6,0,1e-10,Batch,2.7305e-10 
24-Jun-2017 13:10:55,6,0,1e-10,Batch With STLN,2.7029e-10 
24-Jun-2017 13:10:55,6,0,1e-10,Batch Constrained,9.3124e-11 
24-Jun-2017 13:10:55,6,0,1e-10,Batch Constrained With STLN,7.1756e-11 
24-Jun-2017 13:10:55,2,0,1e-10,Separate,5.6924e-10 
24-Jun-2017 13:10:55,2,0,1e-10,Batch,5.6924e-10 
24-Jun-2017 13:10:55,2,0,1e-10,Batch With STLN,5.646e-10 
24-Jun-2017 13:10:55,2,0,1e-10,Batch Constrained,1.8709e-10 
24-Jun-2017 13:10:55,2,0,1e-10,Batch Constrained With STLN,1.8983e-10 
24-Jun-2017 13:10:57,4,1,1e-12,Separate,2.4287e-11 
24-Jun-2017 13:10:57,4,1,1e-12,Batch,2.4948e-12 
24-Jun-2017 13:10:57,4,1,1e-12,Batch With STLN,2.4327e-12 
24-Jun-2017 13:10:57,4,1,1e-12,Batch Constrained,7.782e-13 
24-Jun-2017 13:10:57,4,1,1e-12,Batch Constrained With STLN,4.9978e-13 
24-Jun-2017 13:10:57,5,1,1e-12,Separate,2.7304e-12 
24-Jun-2017 13:10:57,5,1,1e-12,Batch,3.1861e-12 
24-Jun-2017 13:10:57,5,1,1e-12,Batch With STLN,3.1505e-12 
24-Jun-2017 13:10:57,5,1,1e-12,Batch Constrained,1.393e-12 
24-Jun-2017 13:10:57,5,1,1e-12,Batch Constrained With STLN,1.18e-12 
24-Jun-2017 13:10:57,6,1,1e-12,Separate,2.7304e-12 
24-Jun-2017 13:10:57,6,1,1e-12,Batch,3.1861e-12 
24-Jun-2017 13:10:57,6,1,1e-12,Batch With STLN,3.1505e-12 
24-Jun-2017 13:10:57,6,1,1e-12,Batch Constrained,1.393e-12 
24-Jun-2017 13:10:57,6,1,1e-12,Batch Constrained With STLN,1.18e-12 
24-Jun-2017 13:10:57,2,1,1e-12,Separate,5.6921e-12 
24-Jun-2017 13:10:57,2,1,1e-12,Batch,5.9792e-12 
24-Jun-2017 13:10:57,2,1,1e-12,Batch With STLN,5.9286e-12 
24-Jun-2017 13:10:57,2,1,1e-12,Batch Constrained,2.1517e-12 
24-Jun-2017 13:10:57,2,1,1e-12,Batch Constrained With STLN,2.1746e-12 
24-Jun-2017 13:10:59,4,0,1e-12,Separate,2.4287e-11 
24-Jun-2017 13:10:59,4,0,1e-12,Batch,2.4292e-11 
24-Jun-2017 13:10:59,4,0,1e-12,Batch With STLN,2.513e-11 
24-Jun-2017 13:10:59,4,0,1e-12,Batch Constrained,1.1933e-11 
24-Jun-2017 13:10:59,4,0,1e-12,Batch Constrained With STLN,3.5558e-12 
24-Jun-2017 13:10:59,5,0,1e-12,Separate,2.7304e-12 
24-Jun-2017 13:10:59,5,0,1e-12,Batch,2.7309e-12 
24-Jun-2017 13:10:59,5,0,1e-12,Batch With STLN,2.7031e-12 
24-Jun-2017 13:10:59,5,0,1e-12,Batch Constrained,9.2975e-13 
24-Jun-2017 13:10:59,5,0,1e-12,Batch Constrained With STLN,7.1727e-13 
24-Jun-2017 13:10:59,6,0,1e-12,Separate,2.7304e-12 
24-Jun-2017 13:10:59,6,0,1e-12,Batch,2.7309e-12 
24-Jun-2017 13:10:59,6,0,1e-12,Batch With STLN,2.7031e-12 
24-Jun-2017 13:10:59,6,0,1e-12,Batch Constrained,9.2975e-13 
24-Jun-2017 13:10:59,6,0,1e-12,Batch Constrained With STLN,7.1727e-13 
24-Jun-2017 13:10:59,2,0,1e-12,Separate,5.6921e-12 
24-Jun-2017 13:10:59,2,0,1e-12,Batch,5.6917e-12 
24-Jun-2017 13:10:59,2,0,1e-12,Batch With STLN,5.6455e-12 
24-Jun-2017 13:10:59,2,0,1e-12,Batch Constrained,1.867e-12 
24-Jun-2017 13:10:59,2,0,1e-12,Batch Constrained With STLN,1.8972e-12 
24-Jun-2017 13:11:01,3,1,1e-08,Separate,1.1147e-08 
24-Jun-2017 13:11:01,3,1,1e-08,Batch,4.991e-08 
24-Jun-2017 13:11:01,3,1,1e-08,Batch With STLN,5.0401e-08 
24-Jun-2017 13:11:01,3,1,1e-08,Batch Constrained,5.5091e-08 
24-Jun-2017 13:11:01,3,1,1e-08,Batch Constrained With STLN,4.5044e-08 
24-Jun-2017 13:11:02,7,1,1e-08,Separate,4.6844e-07 
24-Jun-2017 13:11:02,7,1,1e-08,Batch,1.2403e-07 
24-Jun-2017 13:11:02,7,1,1e-08,Batch With STLN,1.2008e-07 
24-Jun-2017 13:11:02,7,1,1e-08,Batch Constrained,5.3012e-08 
24-Jun-2017 13:11:02,7,1,1e-08,Batch Constrained With STLN,8.6253e-09 
24-Jun-2017 13:11:02,8,1,1e-08,Separate,3.1703e-06 
24-Jun-2017 13:11:02,8,1,1e-08,Batch,3.8314e-08 
24-Jun-2017 13:11:02,8,1,1e-08,Batch With STLN,3.8456e-08 
24-Jun-2017 13:11:02,8,1,1e-08,Batch Constrained,1.7773e-08 
24-Jun-2017 13:11:02,8,1,1e-08,Batch Constrained With STLN,1.6919e-08 
24-Jun-2017 13:11:03,3,0,1e-08,Separate,1.1147e-08 
24-Jun-2017 13:11:03,3,0,1e-08,Batch,1.1147e-08 
24-Jun-2017 13:11:03,3,0,1e-08,Batch With STLN,1.1119e-08 
24-Jun-2017 13:11:03,3,0,1e-08,Batch Constrained,7.7664e-09 
24-Jun-2017 13:11:03,3,0,1e-08,Batch Constrained With STLN,5.3091e-09 
24-Jun-2017 13:11:04,7,0,1e-08,Separate,4.6844e-07 
24-Jun-2017 13:11:04,7,0,1e-08,Batch,4.6844e-07 
24-Jun-2017 13:11:04,7,0,1e-08,Batch With STLN,7.4653e-07 
24-Jun-2017 13:11:04,7,0,1e-08,Batch Constrained,4.434e-07 
24-Jun-2017 13:11:04,7,0,1e-08,Batch Constrained With STLN,7.8418e-07 
24-Jun-2017 13:11:04,8,0,1e-08,Separate,3.1703e-06 
24-Jun-2017 13:11:04,8,0,1e-08,Batch,3.1703e-06 
24-Jun-2017 13:11:04,8,0,1e-08,Batch With STLN,2.6404e-06 
24-Jun-2017 13:11:04,8,0,1e-08,Batch Constrained,2.998e-06 
24-Jun-2017 13:11:04,8,0,1e-08,Batch Constrained With STLN,2.3354e-06 
24-Jun-2017 13:11:05,3,1,1e-10,Separate,1.8775e-09 
24-Jun-2017 13:11:05,3,1,1e-10,Batch,4.6757e-08 
24-Jun-2017 13:11:05,3,1,1e-10,Batch With STLN,4.6798e-08 
24-Jun-2017 13:11:05,3,1,1e-10,Batch Constrained,5.0262e-08 
24-Jun-2017 13:11:05,3,1,1e-10,Batch Constrained With STLN,3.9047e-08 
24-Jun-2017 13:11:06,7,1,1e-10,Separate,6.4714e-07 
24-Jun-2017 13:11:06,7,1,1e-10,Batch,1.9506e-09 
24-Jun-2017 13:11:06,7,1,1e-10,Batch With STLN,1.9274e-09 
24-Jun-2017 13:11:06,7,1,1e-10,Batch Constrained,1.5962e-09 
24-Jun-2017 13:11:06,7,1,1e-10,Batch Constrained With STLN,1.5141e-09 
24-Jun-2017 13:11:07,3,0,1e-10,Separate,1.8775e-09 
24-Jun-2017 13:11:07,3,0,1e-10,Batch,1.8775e-09 
24-Jun-2017 13:11:07,3,0,1e-10,Batch With STLN,1.8787e-09 
24-Jun-2017 13:11:07,3,0,1e-10,Batch Constrained,1.7867e-09 
24-Jun-2017 13:11:07,3,0,1e-10,Batch Constrained With STLN,1.7737e-09 
24-Jun-2017 13:11:07,8,1,1e-10,Separate,2.4476e-08 
24-Jun-2017 13:11:07,8,1,1e-10,Batch,3.8e-10 
24-Jun-2017 13:11:07,8,1,1e-10,Batch With STLN,3.8142e-10 
24-Jun-2017 13:11:07,8,1,1e-10,Batch Constrained,1.7092e-10 
24-Jun-2017 13:11:07,8,1,1e-10,Batch Constrained With STLN,1.6199e-10 
24-Jun-2017 13:11:08,7,0,1e-10,Separate,6.4714e-07 
24-Jun-2017 13:11:08,7,0,1e-10,Batch,6.4714e-07 
24-Jun-2017 13:11:08,7,0,1e-10,Batch With STLN,6.5593e-07 
24-Jun-2017 13:11:08,7,0,1e-10,Batch Constrained,6.4713e-07 
24-Jun-2017 13:11:08,7,0,1e-10,Batch Constrained With STLN,6.5517e-07 
24-Jun-2017 13:11:08,1,1,1e-08,Separate,7.1785e-08 
24-Jun-2017 13:11:08,1,1,1e-08,Batch,2.6904 
24-Jun-2017 13:11:08,1,1,1e-08,Batch With STLN,2.6509 
24-Jun-2017 13:11:08,1,1,1e-08,Batch Constrained,2.1977 
24-Jun-2017 13:11:08,1,1,1e-08,Batch Constrained With STLN,0.37947 
24-Jun-2017 13:11:09,3,1,1e-12,Separate,1.8951e-09 
24-Jun-2017 13:11:09,3,1,1e-12,Batch,4.674e-08 
24-Jun-2017 13:11:09,3,1,1e-12,Batch With STLN,4.6776e-08 
24-Jun-2017 13:11:09,3,1,1e-12,Batch Constrained,5.0215e-08 
24-Jun-2017 13:11:09,3,1,1e-12,Batch Constrained With STLN,3.8989e-08 
24-Jun-2017 13:11:10,8,0,1e-10,Separate,2.4476e-08 
24-Jun-2017 13:11:10,8,0,1e-10,Batch,2.4475e-08 
24-Jun-2017 13:11:10,8,0,1e-10,Batch With STLN,1.9134e-08 
24-Jun-2017 13:11:10,8,0,1e-10,Batch Constrained,2.2161e-08 
24-Jun-2017 13:11:10,8,0,1e-10,Batch Constrained With STLN,1.5428e-08 
24-Jun-2017 13:11:10,7,1,1e-12,Separate,6.4939e-07 
24-Jun-2017 13:11:10,7,1,1e-12,Batch,1.5236e-09 
24-Jun-2017 13:11:10,7,1,1e-12,Batch With STLN,1.5238e-09 
24-Jun-2017 13:11:10,7,1,1e-12,Batch Constrained,1.5235e-09 
24-Jun-2017 13:11:10,7,1,1e-12,Batch Constrained With STLN,1.5132e-09 
24-Jun-2017 13:11:11,3,0,1e-12,Separate,1.8951e-09 
24-Jun-2017 13:11:11,3,0,1e-12,Batch,1.8951e-09 
24-Jun-2017 13:11:11,3,0,1e-12,Batch With STLN,1.8956e-09 
24-Jun-2017 13:11:11,3,0,1e-12,Batch Constrained,1.8303e-09 
24-Jun-2017 13:11:11,3,0,1e-12,Batch Constrained With STLN,1.8176e-09 
24-Jun-2017 13:11:12,7,0,1e-12,Separate,6.4939e-07 
24-Jun-2017 13:11:12,7,0,1e-12,Batch,6.4939e-07 
24-Jun-2017 13:11:12,7,0,1e-12,Batch With STLN,6.5526e-07 
24-Jun-2017 13:11:12,7,0,1e-12,Batch Constrained,6.4938e-07 
24-Jun-2017 13:11:12,7,0,1e-12,Batch Constrained With STLN,6.5398e-07 
24-Jun-2017 13:11:13,8,1,1e-12,Separate,7.7033e-09 
24-Jun-2017 13:11:13,8,1,1e-12,Batch,1.4125e-11 
24-Jun-2017 13:11:13,8,1,1e-12,Batch With STLN,1.4125e-11 
24-Jun-2017 13:11:13,8,1,1e-12,Batch Constrained,1.3714e-11 
24-Jun-2017 13:11:13,8,1,1e-12,Batch Constrained With STLN,1.3699e-11 
24-Jun-2017 13:11:13,1,0,1e-08,Separate,7.1785e-08 
24-Jun-2017 13:11:13,1,0,1e-08,Batch,7.1785e-08 
24-Jun-2017 13:11:13,1,0,1e-08,Batch With STLN,7.2388e-08 
24-Jun-2017 13:11:13,1,0,1e-08,Batch Constrained,8.8679e-08 
24-Jun-2017 13:11:13,1,0,1e-08,Batch Constrained With STLN,9.3629e-08 
24-Jun-2017 13:11:15,8,0,1e-12,Separate,7.7033e-09 
24-Jun-2017 13:11:15,8,0,1e-12,Batch,7.7035e-09 
24-Jun-2017 13:11:15,8,0,1e-12,Batch With STLN,7.8212e-09 
24-Jun-2017 13:11:15,8,0,1e-12,Batch Constrained,7.7009e-09 
24-Jun-2017 13:11:15,8,0,1e-12,Batch Constrained With STLN,7.8629e-09 
24-Jun-2017 13:11:21,1,1,1e-10,Separate,7.1787e-10 
24-Jun-2017 13:11:21,1,1,1e-10,Batch,2.6904 
24-Jun-2017 13:11:21,1,1,1e-10,Batch With STLN,2.6509 
24-Jun-2017 13:11:21,1,1,1e-10,Batch Constrained,2.1977 
24-Jun-2017 13:11:21,1,1,1e-10,Batch Constrained With STLN,0.37947 
24-Jun-2017 13:11:25,1,0,1e-10,Separate,7.1787e-10 
24-Jun-2017 13:11:25,1,0,1e-10,Batch,7.1787e-10 
24-Jun-2017 13:11:25,1,0,1e-10,Batch With STLN,7.239e-10 
24-Jun-2017 13:11:25,1,0,1e-10,Batch Constrained,8.8677e-10 
24-Jun-2017 13:11:25,1,0,1e-10,Batch Constrained With STLN,9.3627e-10 
24-Jun-2017 13:11:33,1,1,1e-12,Separate,7.3727e-12 
24-Jun-2017 13:11:33,1,1,1e-12,Batch,2.6904 
24-Jun-2017 13:11:33,1,1,1e-12,Batch With STLN,2.6509 
24-Jun-2017 13:11:33,1,1,1e-12,Batch Constrained,2.1977 
24-Jun-2017 13:11:33,1,1,1e-12,Batch Constrained With STLN,0.37947 
24-Jun-2017 13:11:36,1,0,1e-12,Separate,7.3727e-12 
24-Jun-2017 13:11:36,1,0,1e-12,Batch,7.3949e-12 
24-Jun-2017 13:11:36,1,0,1e-12,Batch With STLN,7.4534e-12 
24-Jun-2017 13:11:36,1,0,1e-12,Batch Constrained,8.9048e-12 
24-Jun-2017 13:11:36,1,0,1e-12,Batch Constrained With STLN,9.397e-12 
